tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0000574,movie,The Story of the Kelly Gang,1906.0,70.0,"Action,Adventure,Biography",6.0,1009
tt0002130,movie,Dante's Inferno,1911.0,71.0,"Adventure,Drama,Fantasy",7.0,3875
tt0002423,movie,Passion,1919.0,113.0,"Biography,Drama,Romance",6.6,1087
tt0002844,movie,Fantômas: In the Shadow of the Guillotine,1913.0,54.0,"Crime,Drama",6.9,2655
tt0003014,movie,Ingeborg Holm,1913.0,96.0,Drama,7.0,1546
tt0003037,movie,Fantomas: The Man in Black,1913.0,61.0,"Crime,Drama",6.9,1803
tt0003165,movie,Fantômas: The Dead Man Who Killed,1913.0,90.0,"Crime,Drama,Mystery",6.9,1435
tt0003419,movie,The Student of Prague,1913.0,83.0,"Drama,Fantasy,Horror",6.4,2587
tt0003643,movie,The Avenging Conscience: or 'Thou Shalt Not Kill',1914.0,78.0,"Crime,Drama,Horror",6.4,1535
tt0003740,movie,Cabiria,1914.0,148.0,"Adventure,Drama,History",7.1,4200
tt0003772,movie,Cinderella,1914.0,52.0,"Drama,Fantasy",6.0,1123
tt0003930,movie,Fantomas: The Mysterious Finger Print,1914.0,59.0,"Crime,Drama",6.8,1519
tt0003952,movie,Fantômas: The False Magistrate,1914.0,70.0,"Crime,Drama",6.7,1287
tt0004026,movie,The Golem,1914.0,60.0,Horror,6.7,1297
tt0004181,movie,Judith of Bethulia,1914.0,61.0,Drama,6.2,1507
tt0004465,movie,The Perils of Pauline,1914.0,199.0,"Action,Adventure,Drama",6.3,1108
tt0004635,movie,The Squaw Man,1914.0,74.0,"Action,Drama,Romance",5.7,1117
tt0004707,movie,Tillie's Punctured Romance,1914.0,82.0,Comedy,6.2,3850
tt0004972,movie,The Birth of a Nation,1915.0,195.0,"Drama,War",6.1,27660
tt0005060,movie,Carmen,1915.0,59.0,"Drama,Musical",6.3,1151
tt0005078,movie,The Cheat,1915.0,59.0,"Drama,Romance",6.5,2962
tt0005339,movie,A Fool There Was,1915.0,67.0,Drama,5.7,1124
tt0005916,movie,After Death,1915.0,46.0,"Drama,Horror",6.8,1099
tt0005960,movie,The Regeneration,1915.0,72.0,"Biography,Crime,Drama",6.8,1518
tt0006206,movie,Les Vampires,1915.0,421.0,"Action,Adventure,Crime",7.3,5731
tt0006333,movie,"20,000 Leagues Under the Sea",1916.0,105.0,"Action,Adventure,Sci-Fi",6.1,2153
tt0006780,movie,Hell's Hinges,1916.0,64.0,"Drama,Romance,Western",6.7,1145
tt0006864,movie,Intolerance,1916.0,163.0,"Drama,History",7.7,17534
tt0006886,movie,Judex,1916.0,300.0,"Adventure,Crime",7.2,1197
tt0008443,movie,The Poor Little Rich Girl,1917.0,78.0,"Comedy,Drama,Family",6.7,1620
tt0008663,movie,A Man There Was,1917.0,65.0,"Drama,War",7.3,2490
tt0008879,movie,Berg-Ejvind och hans hustru,1918.0,72.0,Drama,7.1,2238
tt0008891,movie,The Blue Bird,1918.0,75.0,"Family,Fantasy",6.9,1086
tt0009150,movie,Hearts of the World,1918.0,117.0,"Drama,War",6.5,1154
tt0009369,movie,Mickey,1918.0,93.0,"Comedy,Drama",6.1,1208
tt0009652,movie,Stella Maris,1918.0,84.0,Drama,6.9,1649
tt0009878,movie,Different from the Others,1919.0,50.0,"Crime,Drama,History",7.0,1636
tt0009892,movie,Auction of Souls,1919.0,80.0,"Drama,History,Romance",5.5,1276
tt0009893,movie,The Oyster Princess,1919.0,60.0,Comedy,7.1,2332
tt0009900,movie,Back to God's Country,1919.0,73.0,"Adventure,Drama,Romance",6.2,1001
tt0009937,movie,Blind Husbands,1919.0,102.0,"Drama,Romance",6.9,1769
tt0009968,movie,Broken Blossoms,1919.0,90.0,"Drama,Romance",7.2,11545
tt0010040,movie,Daddy-Long-Legs,1919.0,85.0,"Comedy,Drama,Musical",6.6,1506
tt0010071,movie,Don't Change Your Husband,1919.0,71.0,Comedy,6.5,1305
tt0010247,movie,Sir Arne's Treasure,1919.0,122.0,"Drama,History",7.1,1648
tt0010267,movie,The Hoodlum,1919.0,78.0,Comedy,6.7,1066
tt0010281,movie,I Don't Want to Be a Man,1918.0,45.0,"Comedy,Romance",6.8,1765
tt0010307,movie,J'accuse!,1919.0,166.0,"Drama,Horror,War",7.7,2281
tt0010323,movie,The Cabinet of Dr. Caligari,1920.0,67.0,"Horror,Mystery,Thriller",8.0,74010
tt0010418,movie,Male and Female,1919.0,116.0,"Adventure,Drama",7.0,2041
